FIELD	SRR17276338	SRR17276337	SRR17276336	SRR17276335	SRR17276334	SRR17276333	SRR17276332	SRR17276331	SRR17276330	SRR17276329	SRR17276328	SRR17276327	SRR17276326	SRR17276325	SRR17276324	SRR17276323
SpliceLoci_Known	404168	404168	404168	404168	404168	404168	404168	404168	404168	404168	404168	404168	404168	404168	404168	404168
SpliceLoci_Known_NoReads	271635	274897	276082	273575	271154	280386	287836	265948	275248	277438	254029	266847	249811	259786	251107	276869
SpliceLoci_Known_FewReads	49145	50688	53166	53295	50855	52687	51697	50434	52864	54559	49317	51792	48798	49742	46855	52554
SpliceLoci_Known_ManyReads	83388	78583	74920	77298	82159	71095	64635	87786	76056	72171	100822	85529	105559	94640	106206	74745
SpliceLoci_Novel	180050	165715	169080	171891	182555	163452	144867	180565	168819	167332	182563	146303	169451	154963	178145	120423
SpliceLoci_Novel_FewReads	86451	83046	85618	84382	91122	86313	75958	88815	86286	88865	103056	89718	96727	94226	101433	78464
SpliceLoci_Novel_ManyReads	93599	82669	83462	87509	91433	77139	68909	91750	82533	78467	79507	56585	72724	60737	76712	41959
SpliceEvents	6278280	4457843	3944248	4619158	5249391	3511883	3379860	6142780	4165154	3507096	7299799	3942500	7359821	5212998	7392709	2881569
SpliceEvents_KnownLoci	3200819	2378247	2009852	2300271	2693803	1814722	1786286	3354005	2160456	1805628	5096615	2836990	5569854	3929222	5499576	2147339
SpliceEvents_KnownLociWithFewReads	82999	86160	89752	90190	85774	89090	86912	85089	89451	92029	82737	87659	82349	83849	78980	88940
SpliceEvents_KnownLociWithManyReads	3117820	2292087	1920100	2210081	2608029	1725632	1699374	3268916	2071005	1713599	5013878	2749331	5487505	3845373	5420596	2058399
SpliceEvents_NovelLoci	3077461	2079596	1934396	2318887	2555588	1697161	1593574	2788775	2004698	1701468	2203184	1105510	1789967	1283776	1893133	734230
SpliceEvents_NovelLociWithFewReads	128745	124574	128802	127249	133253	129720	117488	131301	129258	132960	149549	134266	143768	139113	148072	119708
SpliceEvents_NovelLociWithManyReads	2948716	1955022	1805594	2191638	2422335	1567441	1476086	2657474	1875440	1568508	2053635	971244	1646199	1144663	1745061	614522
StrandTest_frFirstStrand	13643995	10318967	8989336	9721551	12139683	8341395	7473844	14042413	9489800	8286382	22361533	12577819	23424340	17231564	24033500	9199698
StrandTest_frSecondStrand	12403287	8421946	8095113	9209227	10668150	7166584	6239405	10601315	8130622	7206586	8473238	4302956	6551112	4949221	7339120	2778960
StrandTest_ambig_genesFountOnBothStrands	1198170	924433	804798	870882	1097133	787421	631273	1138992	880105	765792	1552914	862469	1358448	1141941	1545607	612610
StrandTest_ambig_noGenes	5400139	7558607	9180039	4687376	12859853	11173828	3041679	5931429	8827590	11342981	13232732	8972230	6888221	10558588	15120349	5004881
StrandTest_ambig_other	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
StrandTest_STRANDEDNESS_MATCHES_INFERRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumberOfChromosomesCovered	72	75	86	83	92	90	66	90	82	85	100	97	96	95	88	75
deletionLoci	221509	213888	225442	177614	292254	230006	122861	223723	221301	234539	342928	221777	257951	266334	369472	142085
insertionLoci	47009	50337	55358	38995	71839	59095	26932	48988	53375	59982	79450	54017	55604	63174	84476	34042
deletionEventCt	299037	267053	275419	228406	365051	277603	157071	293402	271873	281388	456157	278141	360251	343101	488566	174497
insertionEventCt	74678	71436	76053	58396	102927	79888	40069	76085	74337	80705	127862	78466	96529	96675	134629	48055
highCoverageDeletionLoci	2537	1778	1687	1707	2473	1631	1225	2396	1708	1618	3871	1899	3354	2550	4119	1153
highCoverageInsertionLoci	1096	847	820	793	1295	844	527	1100	864	869	1803	882	1484	1263	1934	544
NumReadsAtMaxReadLength_R1	20931498	17250902	17137342	15788295	23221485	17177820	11165101	20310376	17250107	17305492	28849115	16862941	24539260	21363948	30243915	11208840
NumReadsAtMaxReadLength_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_R1	11714093	9973051	9931944	8700741	13543334	10291408	6221100	11403773	10078010	10296249	16771302	9852533	13682861	12517366	17794661	6387309
NumReadsTruncated_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_25pct_R1	366	188	187	328	347	310	303	507	296	321	254	314	538	402	758	386
NumReadsTruncated_25pct_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_50pct_R1	7977	6457	6595	6819	9898	9414	6293	10638	9580	8669	10164	7835	13358	10799	18941	7202
NumReadsTruncated_50pct_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NumReadsTruncated_75pct_R1	85279	73860	72181	55975	100440	93893	50421	87404	92773	81676	119396	73921	103361	95671	152026	50196
NumReadsTruncated_75pct_R2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
READ_LENGTH	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76	76
COMPLETED_WITHOUT_WARNING	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QoRTs_initTimeStamp	1727017500685	1727017500684	1727017500688	1727017500688	1727017500687	1727017500688	1727017455491	1727017455573	1727017455589	1727017456624	1727017456663	1727017456819	1727017455585	1727017455767	1727017455836	1727017455878
QoRTs_samDoneTimeStamp	1727020110379	1727019739164	1727019740828	1727019503077	1727020317192	1727019625487	1727019009709	1727019974764	1727019636697	1727019624052	1727020961290	1727019745006	1727020560627	1727020088045	1727021506189	1727019181146
QoRTs_majorVer	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
QoRTs_minorVer	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
QoRTs_patchVer	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
QoRTs_compileTimeStamp	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906	1537888906
COMPLETED_WITHOUT_ERROR	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SpliceLoci_Known_Covered	132533	129271	128086	130593	133014	123782	116332	138220	128920	126730	150139	137321	154357	144382	153061	127299
SpliceLoci_Novel_Covered	180050	165715	169080	171891	182555	163452	144867	180565	168819	167332	182563	146303	169451	154963	178145	120423
SpliceLoci_Covered	312583	294986	297166	302484	315569	287234	261199	318785	297739	294062	332702	283624	323808	299345	331206	247722
GC_byRead_Mean	36.72	35.63	35.16	36.66	35	34.43	36.54	36.14	35.05	34.37	34.95	34.86	36.15	34.94	34.82	35.68
GC_byRead_Median	36	35	35	36	34	34	36	36	34	34	34	34	36	34	34	35
GeneBodyCoverage_Overall_Mean	0.51	0.51	0.51	0.52	0.51	0.51	0.51	0.51	0.51	0.51	0.52	0.52	0.52	0.52	0.52	0.52
GeneBodyCoverage_Overall_Median	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.54	0.54	0.54	0.54	0.54	0.54
GeneBodyCoverage_LowExpress_Mean	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
GeneBodyCoverage_LowExpress_Median	0.49	0.49	0.51	0.49	0.51	0.49	0.49	0.51	0.51	0.51	0.51	0.51	0.49	0.49	0.51	0.49
GeneBodyCoverage_UMQuartile_Mean	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.51	0.51	0.51	0.51	0.5	0.5
GeneBodyCoverage_UMQuartile_Median	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.51	0.49
geneDiversityProfile_top1count	140599	113124	91779	137270	142228	93953	88984	142872	106532	94687	247352	144814	319518	219067	249388	115197
geneDiversityProfile_top10count	951082	737555	487931	575064	623157	482469	488602	752751	620600	443509	1260764	705336	1449811	992056	1617493	513221
geneDiversityProfile_top100count	2557191	1940122	1392794	1636422	1818737	1319173	1357904	2228597	1672251	1265781	3678361	2019359	3937021	2712240	4186225	1452562
geneDiversityProfile_top1000count	6267147	4785971	3898121	4306207	5195283	3608802	3405109	6101444	4282993	3519921	9902848	5474286	10312731	7451117	10738105	4019201
geneDiversityProfile_top1pct	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
geneDiversityProfile_top10pct	0.07	0.07	0.05	0.06	0.05	0.06	0.07	0.05	0.07	0.05	0.06	0.06	0.06	0.06	0.07	0.06
geneDiversityProfile_top100pct	0.19	0.19	0.16	0.17	0.15	0.16	0.19	0.16	0.18	0.15	0.17	0.17	0.18	0.16	0.18	0.16
geneDiversityProfile_top1000pct	0.47	0.47	0.43	0.45	0.43	0.43	0.47	0.45	0.45	0.42	0.46	0.45	0.46	0.45	0.46	0.45
